|6.6.6
project/EH70/EH70_1.tab                                                                             
           1
P(bar)  
   6.9506480690741720E-310
   6.9506480690741720E-310
  1027803201
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  17040.0        803.100        3408.63                 NaN            NaN            NaN            NaN            NaN   24.3400        59.7768                 NaN   8.54671        5.68160        7.63814        4.42103     
  17160.0        806.150        3408.76                 NaN            NaN            NaN            NaN            NaN   24.3406        59.7771                 NaN   8.54708        5.68197        7.63791        4.42037     
  17280.0        809.200        3408.88                 NaN            NaN            NaN            NaN            NaN   24.3413        59.7774                 NaN   8.54746        5.68234        7.63769        4.41972     
  17400.0        812.250        3409.01                 NaN            NaN            NaN            NaN            NaN   24.3419        59.7776                 NaN   8.54783        5.68271        7.63746        4.41907     
  17520.0        815.300        3409.13                 NaN            NaN            NaN            NaN            NaN   24.3426        59.7779                 NaN   8.54820        5.68308        7.63723        4.41841     
  17640.0        818.350        3409.25                 NaN            NaN            NaN            NaN            NaN   24.3432        59.7782                 NaN   8.54857        5.68345        7.63700        4.41776     
  17760.0        821.400        3409.38                 NaN            NaN            NaN            NaN            NaN   24.3438        59.7784                 NaN   8.54894        5.68382        7.63677        4.41710     
  17880.0        824.450        3409.50                 NaN            NaN            NaN            NaN            NaN   24.3445        59.7787                 NaN   8.54931        5.68419        7.63654        4.41645     
  18000.0        827.500        3409.63                 NaN            NaN            NaN            NaN            NaN   24.3451        59.7790                 NaN   8.54968        5.68456        7.63630        4.41579     
  18120.0        830.550        3409.75                 NaN            NaN            NaN            NaN            NaN   24.3458        59.7792                 NaN   8.55005        5.68492        7.63607        4.41513     
  18240.0        833.600        3409.87                 NaN            NaN            NaN            NaN            NaN   24.3464        59.7795                 NaN   8.55042        5.68529        7.63584        4.41448     
  18360.0        836.650        3410.00                 NaN            NaN            NaN            NaN            NaN   24.3470        59.7798                 NaN   8.55079        5.68566        7.63560        4.41382     
  18480.0        839.700        3409.52                 NaN            NaN            NaN            NaN            NaN   24.8721        59.3578                 NaN   8.45026        5.68633        7.63515        4.41258     
  18600.0        842.750        3409.64                 NaN            NaN            NaN            NaN            NaN   24.8727        59.3581                 NaN   8.45062        5.68670        7.63492        4.41192     
  18720.0        845.800        3409.77                 NaN            NaN            NaN            NaN            NaN   24.8734        59.3583                 NaN   8.45099        5.68706        7.63468        4.41127     
  18840.0        848.850        3409.89                 NaN            NaN            NaN            NaN            NaN   24.8740        59.3586                 NaN   8.45135        5.68742        7.63444        4.41061     
  18960.0        851.900        3410.01                 NaN            NaN            NaN            NaN            NaN   24.8747        59.3588                 NaN   8.45172        5.68779        7.63421        4.40995     
  19080.0        854.950        3410.13                 NaN            NaN            NaN            NaN            NaN   24.8753        59.3591                 NaN   8.45208        5.68815        7.63397        4.40929     
  19200.0        858.000        3410.25                 NaN            NaN            NaN            NaN            NaN   25.0467        59.1776                 NaN   8.46344        5.68903        7.63424        4.40879     
  19320.0        861.050        3410.37                 NaN            NaN            NaN            NaN            NaN   25.0474        59.1778                 NaN   8.46380        5.68939        7.63400        4.40813     
  19440.0        864.100        3410.49                 NaN            NaN            NaN            NaN            NaN   25.0480        59.1781                 NaN   8.46417        5.68976        7.63376        4.40747     
  19560.0        867.150        3410.61                 NaN            NaN            NaN            NaN            NaN   25.0487        59.1783                 NaN   8.46453        5.69012        7.63352        4.40680     
  19680.0        870.200        3410.73                 NaN            NaN            NaN            NaN            NaN   25.0493        59.1786                 NaN   8.46489        5.69048        7.63328        4.40614     
  19800.0        873.250        3410.86                 NaN            NaN            NaN            NaN            NaN   25.0500        59.1788                 NaN   8.46526        5.69083        7.63304        4.40548     
  19920.0        876.300        3410.98                 NaN            NaN            NaN            NaN            NaN   25.0506        59.1790                 NaN   8.46562        5.69119        7.63280        4.40482     
  20040.0        879.350        3410.94                 NaN            NaN            NaN            NaN            NaN   25.1750        59.0865                 NaN   8.43531        5.69154        7.63239        4.40395     
  20160.0        882.400        3410.90                 NaN            NaN            NaN            NaN            NaN   25.3545        58.9406                 NaN   8.40333        5.69191        7.63205        4.40315     
  20280.0        885.450        3411.18                 NaN            NaN            NaN            NaN            NaN   25.2644        58.9931                 NaN   8.44190        5.69252        7.63217        4.40271     
  20400.0        888.500        3411.22                 NaN            NaN            NaN            NaN            NaN   25.3568        58.9169                 NaN   8.42710        5.69291        7.63191        4.40200     
